SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.908644088251105,0.832582733523664,68,89,64,25,4
2,0.951946524512475,0.908299573234711,76,73,68,5,8
3,0.940603258891183,0.887866860819961,98,90,77,13,21
4,0.905844142202278,0.827893152284108,33,44,32,12,1
5,0.744924322512441,0.593529406930783,24,54,21,33,3
6,0.87163990817277,0.772483814773407,50,57,43,14,7
7,0.952239666809009,0.908833477126328,96,93,86,7,10
8,0.841206517833661,0.725933076755872,133,156,114,42,19
9,0.912434722580849,0.838970075199628,72,74,66,8,6
10,0.88375337018415,0.791718735428518,35,49,32,17,3
11,0.94695834349865,0.899260098261304,108,103,95,8,13
12,0.88618597827844,0.795631910710472,260,228,194,34,66
13,0.952154875357638,0.908679014642183,47,57,43,14,4
14,0.939805552630655,0.88644640137721,164,161,151,10,13
15,0.966858270079394,0.935842820087903,64,63,58,5,6
16,0.936397949954778,0.880402543333726,55,69,51,18,4
17,0.905460406355822,0.8272523092026,116,113,87,26,29
18,0.891928639116641,0.804937904365286,170,131,106,25,64
19,0.958897533945245,0.921040498135573,130,130,123,7,7
20,0.940769355866412,0.88816289547205,28,35,28,7,0
21,0.920101836896712,0.852026485768463,196,190,170,20,26
22,0.945918385069435,0.897386285531358,99,99,87,12,12
23,0.973412642873805,0.948202445818886,69,69,66,3,3
24,0.87481754829824,0.777489505790941,131,157,112,45,19
25,0.957266690072244,0.918035974259388,66,67,59,8,7
26,0.954317658415337,0.912626732291501,76,72,63,9,13
27,0.93999675030756,0.886786668418517,73,80,67,13,6
28,0.90302729528536,0.823199420919291,125,131,105,26,20
29,0.94025340275729,0.887243615788602,54,56,49,7,5
30,0.770491256174076,0.626665942835428,20,28,16,12,4
31,0.827049180327869,0.705101327742837,85,139,80,59,5
32,0.828809627544952,0.707664310634319,186,142,107,35,79
33,0.621610630557357,0.450968822262977,24,81,20,61,4
34,0.967310532551513,0.936690615177369,67,70,60,10,7
35,0.931763808369865,0.87224512300785,133,135,109,26,24
36,0.940862961185836,0.888329769147957,79,82,70,12,9
37,0.911675990389843,0.837688025201621,128,116,99,17,29
38,0.928532654384743,0.866599115861587,103,104,91,13,12
39,0.966788072237057,0.935711296258743,42,45,36,9,6
40,0.913879660065978,0.841416578315339,217,193,177,16,40
41,0.965591735731961,0.93347256502753,79,81,75,6,4
42,0.973921491377303,0.949168590115581,59,60,57,3,2
43,0.909437036544409,0.83391520436632,83,102,74,28,9
44,0.809012612759704,0.679278908766879,17,29,16,13,1
45,0.940051854820203,0.886884758556509,112,106,94,12,18
46,0.960831316595364,0.924615350654511,69,70,67,3,2
47,0.947144958302842,0.899596735345528,63,67,60,7,3
48,0.970532078544928,0.942751161369999,77,69,69,0,8
49,0.969727555383778,0.941234098272912,93,89,87,2,6
50,0.957463480296432,0.918398024626201,74,76,68,8,6
51,0.93139085973787,0.871591702378101,140,141,123,18,17
52,0.951124000568232,0.906803093104911,67,69,62,7,5
53,0.955458318760043,0.914715358822097,99,100,91,9,8
54,0.726962269347287,0.57104534440983,222,167,91,76,131
55,0.852860249141417,0.743466738471132,125,123,96,27,29
56,0.968485170113393,0.938896021708052,72,72,66,6,6
57,0.947968928526513,0.901084534697989,62,65,57,8,5
58,0.941520452062738,0.889502734273468,81,71,60,11,21
59,0.930461287513305,0.869965038806279,128,117,103,14,25
60,0.858256506242409,0.751706938497894,74,101,69,32,5
61,0.926229188599056,0.862594865463524,73,61,56,5,17
62,0.925526267482301,0.861376355207506,92,95,83,12,9
63,0.944762502287402,0.895307932418372,73,77,65,12,8
64,0.876157694566491,0.779609105592909,57,73,55,18,2
65,0.966289884233863,0.934778396279594,73,68,64,4,9
66,0.863805336539785,0.760261744153169,29,48,27,21,2
67,0.924700998910009,0.859947789380138,64,70,56,14,8
68,0.949038504067917,0.903019290184584,65,70,60,10,5
69,0.950787236226866,0.906191069204768,36,38,32,6,4
70,0.935761082707986,0.879277263313257,67,72,61,11,6
71,0.912268093157472,0.838688363758315,30,39,30,9,0
72,0.850611084359451,0.740055061245661,54,52,39,13,15
