SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.870630867764311,0.770900180387274,67,76,59,17,8
2,0.847893193394042,0.735950164110121,63,68,48,20,15
3,0.906070789173871,0.828271866412281,50,64,48,16,2
4,0.72423937052758,0.56769220949159,47,72,41,31,6
5,0.690182051255544,0.526929755327545,24,34,21,13,3
6,0.839264503254621,0.723045435939419,32,36,25,11,7
7,0.876767176439023,0.780574746435396,20,20,16,4,4
8,0.823020593654825,0.699265075682604,51,51,43,8,8
9,0.61184397022856,0.440760229474564,48,72,36,36,12
10,0.603921663035497,0.432584366539635,24,44,21,23,3
11,0.617350566779604,0.446498260474966,15,24,11,13,4
12,0.748995419847328,0.598715169976373,53,42,36,6,17
13,0.855418378068583,0.747363369879304,84,98,73,25,11
14,0.706648807929279,0.546370399827675,59,34,29,5,30
15,0.8116312850651,0.682979343754906,37,41,31,10,6
16,0.876621299008146,0.780343528174568,39,41,32,9,7
17,0.881070187370142,0.787422211317556,93,83,73,10,20
18,0.894424025266424,0.809011814391104,99,85,77,8,22
19,0.933338340781913,0.875008802197028,93,88,78,10,15
20,0.893600409331236,0.807665166245315,97,82,71,11,26
21,0.919357622815249,0.850751036814163,84,88,76,12,8
22,0.923499369617711,0.857871647775771,96,88,83,5,13
23,0.95617815712982,0.916035781068378,82,79,73,6,9
24,0.934736211283302,0.877469243941316,97,91,85,6,12
25,0.93153293382105,0.871840567957228,98,86,74,12,24
26,0.941915651091833,0.890208471624963,86,79,73,6,13
27,0.910075903991708,0.83499016796192,111,118,97,21,14
28,0.932648887775969,0.87379764455636,154,168,146,22,8
29,0.944133245671707,0.89417840063762,136,142,129,13,7
30,0.93955462516832,0.886000021752608,95,107,90,17,5
31,0.927031414733567,0.863987471267271,83,93,81,12,2
32,0.947063909561788,0.899450515717092,133,133,127,6,6
33,0.944769382795182,0.895320290551998,94,109,92,17,2
34,0.93302859037632,0.874464472019357,100,99,88,11,12
35,0.940470308006132,0.887629969327538,101,112,94,18,7
36,0.951613040216299,0.907692556966401,94,98,90,8,4
37,0.945833909484876,0.897234238508554,82,91,79,12,3
38,0.94031205451145,0.887348071207828,115,125,108,17,7
39,0.951056066569492,0.90667960055703,80,87,77,10,3
40,0.939799161767601,0.88643502992741,90,107,89,18,1
41,0.933809846425116,0.875837995027526,117,126,109,17,8
42,0.94843597137779,0.901928884559182,100,104,95,9,5
43,0.932522546495973,0.873575871260737,88,116,84,32,4
44,0.939356055621354,0.8856469323187,139,144,133,11,6
45,0.948489737315415,0.902026134194685,123,121,115,6,8
46,0.94053041925307,0.887737068005287,138,144,131,13,7
47,0.952997487014543,0.910215090408078,91,101,86,15,5
48,0.788786072723984,0.651235966628901,74,101,60,41,14
49,0.959948467490928,0.922981638395455,89,91,84,7,5
50,0.961035530997053,0.924993644796459,83,82,78,4,5
51,0.956269511443399,0.916203485409195,81,76,68,8,13
52,0.819499680031325,0.694196914790392,55,70,52,18,3
53,0.959771433875954,0.922654371483106,81,81,73,8,8
54,0.966660436428204,0.935472201496755,88,89,86,3,2
55,0.95283246113489,0.909914054600607,93,95,80,15,13
56,0.94549543372734,0.896625262676071,79,87,71,16,8
57,0.872822833116245,0.774343961854098,50,69,46,23,4
58,0.955681818181818,0.91512513601741,83,85,73,12,10
59,0.949594337503235,0.904026293276155,71,78,64,14,7
60,0.876551231992945,0.78023249208587,68,95,64,31,4
61,0.965057385639531,0.932474295916279,68,67,65,2,3
62,0.936096966587571,0.879870568265113,82,90,78,12,4
63,0.865044445903753,0.762183543471514,94,119,81,38,13
64,0.965696713808677,0.933668805563522,84,77,75,2,9
65,0.878896997684411,0.783957402548283,95,106,81,25,14
